PV MassSpec-24.10.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EXPORTED RUN DATA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Run Path and Name: C:\Pfeiffer Vacuum\data\007-30-2026\400c-100h-ch4.isi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/30/2026 12:18:36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SensorID:  RGA PrismaPro A 200 47505932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39 Bins;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4157 TimePoints;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time Relative (sec);Time Absolute (UTC);Time Absolute (Date_Time);Step;Ionizer_State;Pressure_(mBar);External_Pressure_(mBar);12_amu_(Methane_/_CH4);13_amu_(Methane_/_CH4);14_amu_(Nitrogen_/_N2);15_amu_(Methane_/_CH4);16_amu_(Oxygen_/_O2);17_amu_(Water_/_H2O);18_amu_(Water_/_H2O);22_amu_(Carbon_dioxide_/_CO2);28_amu_(Nitrogen_/_N2);29_amu_(Nitrogen_/_N2);32_amu_(Oxygen_/_O2);44_amu_(Carbon_dioxide_/_CO2);45_amu_(Carbon_dioxide_/_CO2);Periph:_Digital_In_0;Periph:_Digital_In_1;Periph:_Digital_In_13;Periph:_Digital_In_14;Periph:_Digital_In_15;Periph:_Digital_In_16;Periph:_Digital_In_17;Periph:_Digital_Out_2;Periph:_Digital_Out_3;Periph:_Digital_Out_4;Periph:_Digital_Out_5;Periph:_Digital_Out_6;Periph:_Digital_Out_7;Periph:_Digital_Out_8;Periph:_Digital_Out_9;Periph:_Digital_Out_10;Periph:_Digital_Out_11;Sig:_MCD;Sig:_MCD_CH4;Sig:_MCD_CO2;Sig:_MCD_N2;Sig:_MCD_O2
826,735;1785407543,133;07/30/2026_12:32:23.133;1;3;2,94×10^-05;5,57×10^-06;9,18×10^-13;9,21×10^-13;2,06×10^-10;9,81×10^-12;8,09×10^-11;4,05×10^-12;1,50×10^-11;5,00×10^-15;1,30×10^-09;8,93×10^-12;2,91×10^-10;5,46×10^-12;8,83×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6105645621;0,3932576197;78,04248173;20,95369609
828,602;1785407545;07/30/2026_12:32:25.000;1;3;2,94×10^-05;5,58×10^-06;9,69×10^-13;8,52×10^-13;2,05×10^-10;9,90×10^-12;8,12×10^-11;4,07×10^-12;1,49×10^-11;5,00×10^-15;1,30×10^-09;8,85×10^-12;2,90×10^-10;5,48×10^-12;1,18×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6168786116;0,3952212851;78,10223714;20,88566297
830,468;1785407546,866;07/30/2026_12:32:26.866;1;3;2,96×10^-05;5,59×10^-06;8,77×10^-13;8,96×10^-13;2,05×10^-10;9,82×10^-12;8,10×10^-11;3,99×10^-12;1,49×10^-11;5,00×10^-15;1,30×10^-09;9,02×10^-12;2,91×10^-10;5,51×10^-12;5,90×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6126199635;0,3975176754;78,0401836;20,94967876
832,335;1785407548,733;07/30/2026_12:32:28.733;1;3;2,95×10^-05;5,60×10^-06;8,65×10^-13;8,45×10^-13;2,05×10^-10;9,83×10^-12;8,05×10^-11;4,03×10^-12;1,49×10^-11;5,00×10^-15;1,28×10^-09;8,67×10^-12;2,86×10^-10;5,51×10^-12;8,79×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6190209472;0,4017048826;78,12911166;20,85016251
834,201;1785407550,599;07/30/2026_12:32:30.599;1;3;2,94×10^-05;5,64×10^-06;1,25×10^-12;8,64×10^-13;2,06×10^-10;9,86×10^-12;8,09×10^-11;4,00×10^-12;1,51×10^-11;5,00×10^-15;1,30×10^-09;8,85×10^-12;2,91×10^-10;5,58×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6118950578;0,4005397541;78,10992045;20,87764474
836,067;1785407552,465;07/30/2026_12:32:32.465;1;3;2,95×10^-05;5,63×10^-06;8,46×10^-13;8,96×10^-13;2,05×10^-10;9,80×10^-12;8,08×10^-11;4,02×10^-12;1,49×10^-11;5,00×10^-15;1,30×10^-09;8,47×10^-12;2,91×10^-10;5,51×10^-12;1,89×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6099667011;0,3968260242;78,06620764;20,92699963
837,934;1785407554,332;07/30/2026_12:32:34.332;1;3;2,95×10^-05;5,66×10^-06;8,44×10^-13;8,25×10^-13;2,05×10^-10;9,74×10^-12;8,03×10^-11;4,05×10^-12;1,50×10^-11;5,00×10^-15;1,29×10^-09;8,81×10^-12;2,91×10^-10;5,57×10^-12;4,80×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6082494422;0,4027877477;78,00446123;20,98450158
839,8;1785407556,198;07/30/2026_12:32:36.198;1;3;2,95×10^-05;5,60×10^-06;7,74×10^-13;8,76×10^-13;2,06×10^-10;9,77×10^-12;8,09×10^-11;4,06×10^-12;1,50×10^-11;5,00×10^-15;1,30×10^-09;8,79×10^-12;2,91×10^-10;5,53×10^-12;1,41×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6072188144;0,3973844729;78,09131329;20,90408342
841,667;1785407558,065;07/30/2026_12:32:38.065;1;3;2,95×10^-05;5,64×10^-06;8,17×10^-13;7,87×10^-13;2,04×10^-10;9,76×10^-12;8,04×10^-11;4,08×10^-12;1,51×10^-11;5,00×10^-15;1,30×10^-09;8,70×10^-12;2,89×10^-10;5,50×10^-12;5,84×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6085422107;0,3967085451;78,18266139;20,81208786
843,533;1785407559,931;07/30/2026_12:32:39.931;1;3;2,95×10^-05;5,61×10^-06;7,70×10^-13;8,38×10^-13;2,05×10^-10;9,66×10^-12;8,07×10^-11;4,02×10^-12;1,51×10^-11;5,00×10^-15;1,30×10^-09;8,83×10^-12;2,91×10^-10;5,55×10^-12;2,25×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5989272845;0,3983912079;78,1579112;20,84477031
845,399;1785407561,797;07/30/2026_12:32:41.797;1;3;2,95×10^-05;5,61×10^-06;7,91×10^-13;7,80×10^-13;2,06×10^-10;9,71×10^-12;8,05×10^-11;4,09×10^-12;1,52×10^-11;5,00×10^-15;1,30×10^-09;8,67×10^-12;2,91×10^-10;5,54×10^-12;1,92×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6021925151;0,3975209081;78,11624174;20,88404484
847,266;1785407563,664;07/30/2026_12:32:43.664;1;3;2,95×10^-05;5,56×10^-06;7,99×10^-13;8,20×10^-13;2,06×10^-10;9,72×10^-12;8,11×10^-11;4,10×10^-12;1,52×10^-11;5,00×10^-15;1,30×10^-09;8,81×10^-12;2,90×10^-10;5,55×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6036537369;0,3980396064;78,16667558;20,83163107
849,132;1785407565,53;07/30/2026_12:32:45.530;1;3;2,95×10^-05;5,61×10^-06;7,69×10^-13;8,05×10^-13;2,05×10^-10;9,68×10^-12;8,06×10^-11;4,11×10^-12;1,51×10^-11;5,00×10^-15;1,30×10^-09;8,92×10^-12;2,91×10^-10;5,60×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6016156436;0,4025420039;78,07660454;20,91923781
850,999;1785407567,397;07/30/2026_12:32:47.397;1;3;2,94×10^-05;5,56×10^-06;7,93×10^-13;7,82×10^-13;2,05×10^-10;9,65×10^-12;8,05×10^-11;4,16×10^-12;1,52×10^-11;5,00×10^-15;1,30×10^-09;8,85×10^-12;2,92×10^-10;5,48×10^-12;1,76×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5996465667;0,3939981797;78,05780649;20,94854876
852,865;1785407569,263;07/30/2026_12:32:49.263;1;3;2,94×10^-05;5,59×10^-06;7,85×10^-13;7,50×10^-13;2,07×10^-10;9,69×10^-12;8,09×10^-11;4,15×10^-12;1,54×10^-11;5,00×10^-15;1,30×10^-09;8,81×10^-12;2,90×10^-10;5,57×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6017491504;0,3999289599;78,18149084;20,81683105
854,731;1785407571,129;07/30/2026_12:32:51.129;1;3;2,94×10^-05;5,65×10^-06;8,12×10^-13;7,89×10^-13;2,05×10^-10;9,63×10^-12;8,09×10^-11;4,22×10^-12;1,53×10^-11;5,00×10^-15;1,30×10^-09;8,72×10^-12;2,89×10^-10;5,63×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6007305768;0,4055884239;78,14908935;20,84459165
856,598;1785407572,996;07/30/2026_12:32:52.996;1;3;2,94×10^-05;5,58×10^-06;7,99×10^-13;7,55×10^-13;2,07×10^-10;9,75×10^-12;8,09×10^-11;4,18×10^-12;1,51×10^-11;2,27×10^-14;1,30×10^-09;8,79×10^-12;2,89×10^-10;5,54×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,6090208024;0,4001904894;78,1384359;20,85235281
858,464;1785407574,862;07/30/2026_12:32:54.862;1;3;2,95×10^-05;5,57×10^-06;7,77×10^-13;7,61×10^-13;2,05×10^-10;9,62×10^-12;8,03×10^-11;4,20×10^-12;1,53×10^-11;3,28×10^-14;1,30×10^-09;8,84×10^-12;2,89×10^-10;5,56×10^-12;1,07×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5992575857;0,4005813401;78,17828136;20,82187971
860,331;1785407576,729;07/30/2026_12:32:56.729;1;3;2,94×10^-05;5,64×10^-06;7,72×10^-13;7,63×10^-13;2,05×10^-10;9,54×10^-12;8,04×10^-11;4,22×10^-12;1,54×10^-11;5,45×10^-14;1,29×10^-09;8,88×10^-12;2,88×10^-10;5,60×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5971430838;0,4052938921;78,14652174;20,85104129
862,197;1785407578,595;07/30/2026_12:32:58.595;1;3;2,95×10^-05;5,62×10^-06;7,96×10^-13;7,43×10^-13;2,04×10^-10;9,50×10^-12;8,02×10^-11;4,15×10^-12;1,52×10^-11;7,36×10^-14;1,29×10^-09;9,06×10^-12;2,90×10^-10;5,56×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5934386464;0,401834497;78,07823845;20,9264884
864,063;1785407580,461;07/30/2026_12:33:00.461;1;3;2,93×10^-05;5,58×10^-06;8,28×10^-13;7,43×10^-13;2,04×10^-10;9,57×10^-12;8,03×10^-11;4,24×10^-12;1,53×10^-11;8,44×10^-14;1,29×10^-09;8,85×10^-12;2,88×10^-10;5,63×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5987847776;0,4073384567;78,15440704;20,83946973
865,93;1785407582,328;07/30/2026_12:33:02.328;1;3;2,94×10^-05;5,55×10^-06;8,41×10^-13;7,69×10^-13;2,04×10^-10;9,57×10^-12;8,09×10^-11;4,27×10^-12;1,55×10^-11;9,41×10^-14;1,30×10^-09;8,89×10^-12;2,91×10^-10;5,67×10^-12;1,27×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5949919241;0,4074280245;78,11602564;20,88155441
867,796;1785407584,194;07/30/2026_12:33:04.194;1;3;2,93×10^-05;5,60×10^-06;8,16×10^-13;7,67×10^-13;2,05×10^-10;9,55×10^-12;8,06×10^-11;4,28×10^-12;1,55×10^-11;9,06×10^-14;1,30×10^-09;8,85×10^-12;2,89×10^-10;5,68×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5949350382;0,4088041296;78,1662633;20,82999754
869,663;1785407586,061;07/30/2026_12:33:06.061;1;3;2,95×10^-05;5,56×10^-06;8,55×10^-13;7,60×10^-13;2,05×10^-10;9,53×10^-12;8,00×10^-11;4,24×10^-12;1,55×10^-11;1,36×10^-13;1,29×10^-09;8,86×10^-12;2,89×10^-10;5,65×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5953354833;0,4082377412;78,11060766;20,88581912
871,529;1785407587,927;07/30/2026_12:33:07.927;1;3;2,94×10^-05;5,55×10^-06;8,81×10^-13;7,01×10^-13;2,03×10^-10;9,41×10^-12;8,00×10^-11;4,28×10^-12;1,53×10^-11;1,42×10^-13;1,29×10^-09;8,95×10^-12;2,87×10^-10;5,75×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5890860417;0,4163963328;78,20856212;20,78595551
873,395;1785407589,793;07/30/2026_12:33:09.793;1;3;2,95×10^-05;5,57×10^-06;8,95×10^-13;7,61×10^-13;2,04×10^-10;9,42×10^-12;8,02×10^-11;4,27×10^-12;1,54×10^-11;2,05×10^-13;1,30×10^-09;9,01×10^-12;2,89×10^-10;5,72×10^-12;1,27×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5870671548;0,4126963679;78,15468032;20,84555615
875,262;1785407591,66;07/30/2026_12:33:11.660;1;3;2,93×10^-05;5,54×10^-06;8,51×10^-13;7,53×10^-13;2,03×10^-10;9,39×10^-12;7,99×10^-11;4,28×10^-12;1,57×10^-11;1,84×10^-13;1,30×10^-09;9,00×10^-12;2,89×10^-10;5,72×10^-12;5,00×10^-15;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5857218267;0,4126664538;78,18054305;20,82106867
877,128;1785407593,526;07/30/2026_12:33:13.526;1;3;2,93×10^-05;5,61×10^-06;8,98×10^-13;8,50×10^-13;2,05×10^-10;9,54×10^-12;8,05×10^-11;4,36×10^-12;1,59×10^-11;1,83×10^-13;1,30×10^-09;8,96×10^-12;2,90×10^-10;5,75×10^-12;2,52×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5951674412;0,4145278789;78,10761584;20,88268884
878,995;1785407595,393;07/30/2026_12:33:15.393;1;3;2,94×10^-05;5,58×10^-06;9,21×10^-13;8,02×10^-13;2,04×10^-10;9,44×10^-12;7,98×10^-11;4,27×10^-12;1,58×10^-11;2,09×10^-13;1,30×10^-09;8,84×10^-12;2,89×10^-10;5,87×10^-12;6,11×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5884314001;0,4230144678;78,19891647;20,78963766
880,861;1785407597,259;07/30/2026_12:33:17.259;1;3;2,94×10^-05;5,62×10^-06;9,34×10^-13;8,01×10^-13;2,04×10^-10;9,46×10^-12;8,00×10^-11;4,28×10^-12;1,56×10^-11;1,70×10^-13;1,29×10^-09;9,02×10^-12;2,89×10^-10;5,82×10^-12;4,45×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5917281971;0,4212223533;78,09002427;20,89702518
882,727;1785407599,125;07/30/2026_12:33:19.125;1;3;2,95×10^-05;5,59×10^-06;1,01×10^-12;8,55×10^-13;2,05×10^-10;9,48×10^-12;8,01×10^-11;4,33×10^-12;1,60×10^-11;2,06×10^-13;1,29×10^-09;9,02×10^-12;2,90×10^-10;5,90×10^-12;7,73×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5920965953;0,4264682712;78,07886868;20,90256645
884,594;1785407600,992;07/30/2026_12:33:20.992;1;3;2,95×10^-05;5,58×10^-06;9,30×10^-13;8,82×10^-13;2,04×10^-10;9,39×10^-12;8,00×10^-11;4,36×10^-12;1,57×10^-11;2,33×10^-13;1,29×10^-09;8,97×10^-12;2,88×10^-10;5,86×10^-12;4,75×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5881209528;0,4246214286;78,13323634;20,85402128
886,46;1785407602,858;07/30/2026_12:33:22.858;1;3;2,94×10^-05;5,60×10^-06;9,83×10^-13;8,61×10^-13;2,04×10^-10;9,39×10^-12;8,00×10^-11;4,33×10^-12;1,57×10^-11;2,23×10^-13;1,30×10^-09;8,99×10^-12;2,89×10^-10;5,88×10^-12;1,02×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5863319273;0,4246500092;78,14459535;20,84442271
888,327;1785407604,725;07/30/2026_12:33:24.725;1;3;2,94×10^-05;5,60×10^-06;9,56×10^-13;8,11×10^-13;2,05×10^-10;9,42×10^-12;8,00×10^-11;4,39×10^-12;1,61×10^-11;2,26×10^-13;1,30×10^-09;9,04×10^-12;2,91×10^-10;5,94×10^-12;4,04×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5857219852;0,4271121118;78,05354082;20,93362508
890,193;1785407606,591;07/30/2026_12:33:26.591;1;3;2,94×10^-05;5,55×10^-06;9,80×10^-13;8,78×10^-13;2,05×10^-10;9,44×10^-12;7,99×10^-11;4,35×10^-12;1,60×10^-11;1,91×10^-13;1,29×10^-09;8,91×10^-12;2,87×10^-10;5,94×10^-12;4,74×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5913432342;0,4301198807;78,18094587;20,79759101
892,059;1785407608,457;07/30/2026_12:33:28.457;1;3;2,94×10^-05;5,60×10^-06;9,68×10^-13;8,57×10^-13;2,04×10^-10;9,42×10^-12;7,97×10^-11;4,34×10^-12;1,60×10^-11;2,36×10^-13;1,29×10^-09;9,00×10^-12;2,88×10^-10;5,97×10^-12;5,04×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,589497645;0,4319788799;78,13612335;20,84240012
893,926;1785407610,324;07/30/2026_12:33:30.324;1;3;2,95×10^-05;5,61×10^-06;9,48×10^-13;7,94×10^-13;2,06×10^-10;9,40×10^-12;8,01×10^-11;4,33×10^-12;1,60×10^-11;1,76×10^-13;1,30×10^-09;8,97×10^-12;2,89×10^-10;5,97×10^-12;3,25×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5860970281;0,4302602896;78,12552026;20,85812242
895,792;1785407612,19;07/30/2026_12:33:32.190;1;3;2,95×10^-05;5,65×10^-06;9,60×10^-13;8,35×10^-13;2,05×10^-10;9,37×10^-12;8,02×10^-11;4,33×10^-12;1,60×10^-11;1,75×10^-13;1,30×10^-09;9,01×10^-12;2,90×10^-10;5,92×10^-12;5,70×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5835846771;0,4263397015;78,13746606;20,85260956
897,659;1785407614,057;07/30/2026_12:33:34.057;1;3;2,94×10^-05;5,61×10^-06;1,02×10^-12;8,39×10^-13;2,05×10^-10;9,36×10^-12;8,01×10^-11;4,26×10^-12;1,61×10^-11;1,64×10^-13;1,29×10^-09;9,01×10^-12;2,88×10^-10;5,97×10^-12;3,81×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5857206868;0,4318500042;78,15509948;20,82732983
899,525;1785407615,923;07/30/2026_12:33:35.923;1;3;2,94×10^-05;5,58×10^-06;9,60×10^-13;8,17×10^-13;2,03×10^-10;9,30×10^-12;8,00×10^-11;4,57×10^-12;1,61×10^-11;1,79×10^-13;1,30×10^-09;8,99×10^-12;2,90×10^-10;6,00×10^-12;3,99×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5771883387;0,4306501237;78,20658749;20,78557404
901,391;1785407617,789;07/30/2026_12:33:37.789;1;3;2,94×10^-05;5,59×10^-06;9,96×10^-13;8,78×10^-13;2,05×10^-10;9,27×10^-12;8,04×10^-11;4,30×10^-12;1,58×10^-11;1,86×10^-13;1,29×10^-09;9,20×10^-12;2,89×10^-10;6,00×10^-12;5,67×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5798544413;0,4339977105;78,05933011;20,92681774
903,258;1785407619,656;07/30/2026_12:33:39.656;1;3;2,95×10^-05;5,56×10^-06;9,74×10^-13;8,61×10^-13;2,05×10^-10;9,35×10^-12;8,04×10^-11;4,39×10^-12;1,59×10^-11;1,56×10^-13;1,29×10^-09;8,93×10^-12;2,89×10^-10;6,02×10^-12;1,30×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5841508778;0,4352501964;78,12569287;20,85490606
905,124;1785407621,522;07/30/2026_12:33:41.522;1;3;2,94×10^-05;5,60×10^-06;1,04×10^-12;8,76×10^-13;2,05×10^-10;9,34×10^-12;8,00×10^-11;4,34×10^-12;1,60×10^-11;1,86×10^-13;1,29×10^-09;9,19×10^-12;2,89×10^-10;6,06×10^-12;5,02×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5845953475;0,4386269553;78,11128972;20,86548798
906,991;1785407623,389;07/30/2026_12:33:43.389;1;3;2,94×10^-05;5,58×10^-06;1,02×10^-12;8,52×10^-13;2,04×10^-10;9,30×10^-12;7,97×10^-11;4,31×10^-12;1,63×10^-11;2,13×10^-13;1,29×10^-09;9,02×10^-12;2,88×10^-10;6,04×10^-12;8,33×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5817418436;0,4372666961;78,15708947;20,82390199
908,857;1785407625,255;07/30/2026_12:33:45.255;1;3;2,94×10^-05;5,59×10^-06;9,89×10^-13;8,62×10^-13;2,04×10^-10;9,27×10^-12;7,99×10^-11;4,34×10^-12;1,59×10^-11;1,57×10^-13;1,29×10^-09;9,07×10^-12;2,89×10^-10;6,06×10^-12;6,17×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5806285671;0,439042298;78,06297596;20,91735318
910,723;1785407627,121;07/30/2026_12:33:47.121;1;3;2,94×10^-05;5,54×10^-06;1,04×10^-12;9,18×10^-13;2,05×10^-10;9,19×10^-12;7,99×10^-11;4,35×10^-12;1,60×10^-11;1,80×10^-13;1,29×10^-09;8,99×10^-12;2,89×10^-10;6,14×10^-12;8,28×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5746404518;0,4437591826;78,11741455;20,86418581
912,59;1785407628,988;07/30/2026_12:33:48.988;1;3;2,94×10^-05;5,57×10^-06;1,02×10^-12;8,85×10^-13;2,04×10^-10;9,26×10^-12;7,97×10^-11;4,26×10^-12;1,59×10^-11;1,32×10^-13;1,29×10^-09;9,03×10^-12;2,87×10^-10;6,13×10^-12;9,49×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5803810098;0,4445673828;78,17964837;20,79540324
914,456;1785407630,854;07/30/2026_12:33:50.854;1;3;2,94×10^-05;5,56×10^-06;1,03×10^-12;9,32×10^-13;2,05×10^-10;9,26×10^-12;7,98×10^-11;4,39×10^-12;1,61×10^-11;1,21×10^-13;1,29×10^-09;9,02×10^-12;2,88×10^-10;6,10×10^-12;1,14×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5797839756;0,4420749287;78,16896124;20,80917985
916,323;1785407632,721;07/30/2026_12:33:52.721;1;3;2,95×10^-05;5,55×10^-06;1,05×10^-12;9,01×10^-13;2,05×10^-10;9,27×10^-12;8,02×10^-11;4,38×10^-12;1,60×10^-11;9,62×10^-14;1,30×10^-09;9,02×10^-12;2,90×10^-10;6,15×10^-12;1,03×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5777264442;0,4437668576;78,10432993;20,87417677
918,189;1785407634,587;07/30/2026_12:33:54.587;1;3;2,94×10^-05;5,65×10^-06;1,03×10^-12;8,07×10^-13;2,06×10^-10;9,34×10^-12;8,03×10^-11;4,36×10^-12;1,62×10^-11;9,87×10^-14;1,29×10^-09;9,20×10^-12;2,89×10^-10;6,17×10^-12;1,12×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5831933643;0,4461853967;78,10428875;20,86633249
920,055;1785407636,453;07/30/2026_12:33:56.453;1;3;2,95×10^-05;5,46×10^-06;9,93×10^-13;8,45×10^-13;2,03×10^-10;9,16×10^-12;7,93×10^-11;4,27×10^-12;1,61×10^-11;9,63×10^-14;1,28×10^-09;8,99×10^-12;2,88×10^-10;6,15×10^-12;1,17×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5766683223;0,447756508;78,0188192;20,95675597
921,922;1785407638,32;07/30/2026_12:33:58.320;1;3;2,94×10^-05;5,50×10^-06;1,08×10^-12;8,53×10^-13;2,05×10^-10;9,23×10^-12;7,99×10^-11;4,34×10^-12;1,61×10^-11;6,69×10^-14;1,30×10^-09;9,00×10^-12;2,88×10^-10;6,18×10^-12;1,04×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5761177916;0,4465443905;78,19738545;20,77995237
923,788;1785407640,186;07/30/2026_12:34:00.186;1;3;2,94×10^-05;5,61×10^-06;1,09×10^-12;8,39×10^-13;2,05×10^-10;9,21×10^-12;8,00×10^-11;4,33×10^-12;1,62×10^-11;1,10×10^-13;1,30×10^-09;8,97×10^-12;2,88×10^-10;6,17×10^-12;7,07×10^-14;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,574444871;0,4455049477;78,18860848;20,7914417
925,655;1785407642,053;07/30/2026_12:34:02.053;1;3;2,94×10^-05;5,55×10^-06;1,04×10^-12;8,75×10^-13;2,05×10^-10;9,21×10^-12;7,95×10^-11;4,34×10^-12;1,60×10^-11;9,37×10^-14;1,29×10^-09;8,99×10^-12;2,90×10^-10;6,24×10^-12;1,16×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5767298824;0,4521024191;78,01733409;20,95383361
927,521;1785407643,919;07/30/2026_12:34:03.919;1;3;2,95×10^-05;5,62×10^-06;1,02×10^-12;8,18×10^-13;2,04×10^-10;9,18×10^-12;7,98×10^-11;4,32×10^-12;1,62×10^-11;7,93×10^-14;1,30×10^-09;8,96×10^-12;2,89×10^-10;6,31×10^-12;1,14×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5723599119;0,4553261575;78,134488;20,83782593
929,387;1785407645,785;07/30/2026_12:34:05.785;1;3;2,94×10^-05;5,64×10^-06;1,04×10^-12;8,99×10^-13;2,06×10^-10;9,22×10^-12;8,01×10^-11;4,39×10^-12;1,64×10^-11;3,63×10^-14;1,30×10^-09;8,92×10^-12;2,90×10^-10;6,21×10^-12;1,05×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5727980543;0,44666901;78,13489355;20,84563939
931,254;1785407647,652;07/30/2026_12:34:07.652;1;3;2,95×10^-05;5,59×10^-06;1,04×10^-12;8,62×10^-13;2,06×10^-10;9,28×10^-12;8,02×10^-11;4,36×10^-12;1,62×10^-11;6,70×10^-14;1,29×10^-09;8,96×10^-12;2,89×10^-10;6,18×10^-12;1,16×10^-13;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0,5793517093;0,4468188902;78,093204;20,8806254
